course_url,course_name,absoulte_url
/course/swayam-mechanics-of-materials-10049,Mechanics Of Materials,https://www.classcentral.com/course/swayam-mechanics-of-materials-10049
/course/swayam-aspects-of-biochemical-engineering-10074,Aspects of Biochemical Engineering,https://www.classcentral.com/course/swayam-aspects-of-biochemical-engineering-10074
/course/swayam-theory-of-production-processes-9901,Theory of Production Processes,https://www.classcentral.com/course/swayam-theory-of-production-processes-9901
/course/swayam-rheology-of-complex-materials-9907,Rheology of Complex Materials,https://www.classcentral.com/course/swayam-rheology-of-complex-materials-9907
/course/swayam-advanced-fluid-mechanics-9915,Advanced Fluid Mechanics,https://www.classcentral.com/course/swayam-advanced-fluid-mechanics-9915
/course/swayam-introduction-to-mineral-processing-9851,Introduction to Mineral Processing,https://www.classcentral.com/course/swayam-introduction-to-mineral-processing-9851
/course/swayam-integrated-circuits-mosfets-op-amps-and-their-applications-10006,"Integrated Circuits, Mosfets, OP-Amps and their Applications",https://www.classcentral.com/course/swayam-integrated-circuits-mosfets-op-amps-and-their-applications-10006
/course/electrical-engineering-9066,"Electrical Engineering: Sensing, Powering and Controlling",https://www.classcentral.com/course/electrical-engineering-9066
/course/swayam-compliant-mechanisms-principles-and-design-7935,Compliant Mechanisms: Principles and Design,https://www.classcentral.com/course/swayam-compliant-mechanisms-principles-and-design-7935
/course/federica-fondamenti-di-circuiti-elettrici-10651,Fondamenti di circuiti elettrici,https://www.classcentral.com/course/federica-fondamenti-di-circuiti-elettrici-10651
/course/swayam-heat-treatment-and-surface-hardening-i-6557,Heat Treatment and Surface Hardening-I,https://www.classcentral.com/course/swayam-heat-treatment-and-surface-hardening-i-6557
/course/swayam-introduction-to-process-modeling-in-membrane-separation-process-5806,Introduction to Process Modeling in Membrane Separation Process,https://www.classcentral.com/course/swayam-introduction-to-process-modeling-in-membrane-separation-process-5806
/course/swayam-an-introduction-to-coding-theory-7968,An Introduction to Coding Theory,https://www.classcentral.com/course/swayam-an-introduction-to-coding-theory-7968
/course/swayam-wireless-ad-hoc-and-sensor-networks-7888,Wireless Ad Hoc and Sensor Networks,https://www.classcentral.com/course/swayam-wireless-ad-hoc-and-sensor-networks-7888
/course/swayam-introduction-to-mechanical-vibration-7929,Introduction to Mechanical Vibration,https://www.classcentral.com/course/swayam-introduction-to-mechanical-vibration-7929
